iter	Passed	Remaining
1088	82940	145546
1089	82986	145416
1090	83035	145292
1091	83082	145165
1092	83126	145034
1093	83173	144907
1094	83215	144772
1095	83265	144650
1096	83308	144518
1097	83354	144390
1098	83397	144258
1099	83437	144119
1100	83481	143989
1101	83518	143845
1102	83555	143702
1103	83598	143570
1104	83635	143428
1105	83676	143293
1106	83713	143153
1107	83750	143010
1108	83786	142867
1109	83825	142730
1110	83863	142591
1111	83900	142449
1112	83940	142313
1113	83976	142172
1114	84013	142031
1115	84047	141886
1116	84086	141749
1117	84130	141622
1118	84172	141491
1119	84214	141360
1120	84252	141223
1121	84290	141085
1122	84323	140940
1123	84359	140799
1124	84395	140658
1125	84427	140512
1126	84462	140370
1127	84496	140228
1128	84534	140092
1129	84571	139954
1130	84607	139816
1131	84642	139675
1132	84677	139534
1133	84714	139397
1134	84748	139255
1135	84783	139117
1136	84823	138984
1137	84857	138844
1138	84892	138704
1139	84927	138566
1140	84962	138427
1141	84996	138286
1142	85030	138146
1143	85066	138010
1144	85100	137869
1145	85134	137730
1146	85173	137598
1147	85210	137465
1148	85247	137331
1149	85283	137195
1150	85318	137057
1151	85354	136922
1152	85389	136786
1153	85427	136655
1154	85473	136535
1155	85509	136400
1156	85541	136260
1157	85579	136128
1158	85614	135993
1159	85648	135856
1160	85683	135720
1161	85721	135589
1162	85755	135454
1163	85794	135325
1164	85829	135190
1165	85863	135054
1166	85899	134922
1167	85935	134789
1168	85972	134658
1169	86003	134519
1170	86042	134390
1171	86077	134258
1172	86113	134126
1173	86148	133992
1174	86185	133862
1175	86221	133730
1176	86255	133596
1177	86288	133461
1178	86324	133330
1179	86358	133197
1180	86397	133070
1181	86433	132940
1182	86468	132808
1183	86500	132673
1184	86535	132542
1185	86569	132409
1186	86604	132278
1187	86639	132146
1188	86674	132017
1189	86708	131884
1190	86744	131756
1191	86777	131621
1192	86811	131490
1193	86853	131371
1194	86887	131240
1195	86922	131111
1196	86957	130981
1197	86993	130852
1198	87031	130728
1199	87065	130598
1200	87101	130471
1201	87134	130338
1202	87167	130207
1203	87205	130084
1204	87238	129952
1205	87276	129829
1206	87319	129713
1207	87364	129600
1208	87398	129471
1209	87433	129344
1210	87467	129215
1211	87502	129087
1212	87535	128957
1213	87568	128827
1214	87599	128695
1215	87638	128574
1216	87672	128446
1217	87706	128319
1218	87741	128193
1219	87775	128065
1220	87810	127939
1221	87846	127816
1222	87884	127694
